is_usable,primary_label,qc_file,relevance,specificity,coherence,completeness,rand_id_in_org
False,unusable,interim/qc/0_q31.json,1,1,4,1,32387
False,unusable,interim/qc/0_q35.json,1,1,1,1,32387
False,unusable,interim/qc/1000_q31.json,1,1,1,1,39715
False,unusable,interim/qc/1000_q35.json,1,1,1,1,39715
False,unusable,interim/qc/1001_q31.json,1,1,4,1,25876
True,acceptable,interim/qc/1002_q31.json,4,3,4,4,45489
True,acceptable,interim/qc/1002_q35.json,3,2,4,2,45489
False,unusable,interim/qc/1003_q31.json,1,1,1,1,11943
True,acceptable,interim/qc/1003_q35.json,4,4,4,4,11943
False,unusable,interim/qc/1004_q31.json,1,1,1,1,93783
False,unusable,interim/qc/1004_q35.json,1,1,1,1,93783
True,acceptable,interim/qc/1005_q31.json,4,4,4,4,30621
True,acceptable,interim/qc/1005_q35.json,4,4,4,4,30621
False,unusable,interim/qc/1006_q31.json,1,1,1,1,90374
False,unusable,interim/qc/1006_q35.json,1,1,1,1,90374
True,acceptable,interim/qc/1007_q31.json,4,3,4,3,39984
True,acceptable,interim/qc/1007_q35.json,4,3,4,3,39984
False,unusable,interim/qc/1008_q31.json,1,1,1,1,20395
False,unusable,interim/qc/1008_q35.json,1,1,4,1,20395
False,unusable,interim/qc/1009_q31.json,1,1,1,1,31422
True,acceptable,interim/qc/1009_q35.json,4,2,4,2,31422
True,acceptable,interim/qc/100_q31.json,4,3,4,3,52040
True,acceptable,interim/qc/100_q35.json,4,3,4,3,52040
False,unusable,interim/qc/1010_q31.json,1,1,1,1,94823
False,unusable,interim/qc/1010_q35.json,1,1,1,1,94823
False,unusable,interim/qc/1011_q31.json,1,1,1,1,87803
False,unusable,interim/qc/1011_q35.json,1,1,1,1,87803
False,unusable,interim/qc/1012_q31.json,2,1,3,1,15270
True,acceptable,interim/qc/1012_q35.json,4,2,4,2,15270
True,acceptable,interim/qc/1013_q31.json,4,4,4,4,80032
True,acceptable,interim/qc/1013_q35.json,4,3,4,3,80032
False,unusable,interim/qc/1014_q35.json,1,1,4,1,92890
True,acceptable,interim/qc/1015_q31.json,4,3,4,3,59482
False,unusable,interim/qc/1015_q35.json,1,1,1,1,59482
True,acceptable,interim/qc/1016_q31.json,4,3,4,3,58995
True,acceptable,interim/qc/1016_q35.json,4,3,4,3,58995
False,unusable,interim/qc/1017_q31.json,1,1,1,1,87952
False,unusable,interim/qc/1017_q35.json,1,1,1,1,87952
True,acceptable,interim/qc/1018_q31.json,4,2,4,2,76231
False,unusable,interim/qc/1018_q35.json,1,1,1,1,76231
False,unusable,interim/qc/1019_q31.json,1,1,4,1,81991
False,unusable,interim/qc/1019_q35.json,1,1,4,1,81991
True,acceptable,interim/qc/101_q31.json,4,4,4,4,26689
True,acceptable,interim/qc/101_q35.json,4,4,4,4,26689
True,acceptable,interim/qc/1020_q31.json,4,3,4,3,97014
True,needs_review,interim/qc/1020_q35.json,3,2,3,2,97014
